"BKAMA"	"Mindestalteranfrage mit Autorisierung"
"HITSBS"	"Bestand terminierter Sammelüberweisungen Parameter"
"HITSE"	"Einreichung terminierter Sammelüberweisung bestätigen"
"HITSES"	"Terminierte Sammelüberweisung einreichen Parameter"
"HITSLS"	"Terminierte Sammelüberweisung löschen Parameter"
"HITSPS"	"TAN-Liste löschen Parameter"
"HITSYS"	"TAN-Generator Synchronisierung Parameter"
"HITUA"	"Änderung terminierter Überweisung bestätigen"
"HITUAS"	"Terminierte Überweisung ändern Parameter "
"HITUB"	"Bestand terminierter Überweisungen rückmelden"
"HITUBS"	"Bestand terminierter Überweisungen Parameter"
"HITUE"	"Einreichung terminierter Überweisung bestﾊtigen"
"HITUES"	"Terminierte Überweisung einreichen Parameter "
"HITULS"	"Terminierte Überweisung löschen Parameter "
"HIUEBS"	"Einzelüberweisung Parameter"
"HIUMBS"	"Umbuchung Parameter"
"HIUPA"	"Userparameter allgemein"
"HIUPD"	"Kontoinformation"
"HIVDBS"	"Vordruckbestellung Parameter"
"HIVISS"	"Secoder-spezifische Visualisierungsinformationen"
"HIVMK"	"Vormerkposten anfordern"
"HIVMKS"	"Vormerkposten anfordern Parameter"
"HIVUAS"	"Vorbereitete Überweisung ändern Parameter"
"HIVUB"	"Bestand vorbereiteter Überweisungen"
"HIVUBS"	"Bestand vorbereiteter Überweisungen Parameter"
"HIVUE"	"Anlage vorbereiteter Überweisung bestätigen"
"HIVUES"	"Vorbereitete Überweisung anlegen Parameter"
"HIVULS"	"Vorbereitete Überweisung löschen Parameter"
"HIWDU"	"Depotumsätze rückmelden"
"HIWDUS"	"Depotumsätze Parameter"
"HIWFO"	"Fondsordereinreichung bestätigen"
"HIWFOS"	"Fondsorder Parameter"
"HIWFP"	"Festpreisangebote rückmelden"
"HIWFPS"	"Festpreisangebote Parameter"
"HIWOA"	"Wertpapierorderänderung bestätigen"
"HIWOAS"	"Wertpapierorderänderung Parameter"
"HIWOH"	"Wertpapierorderhistorie rückmelden"
"HIWOHS"	"Wertpapierorderhistorie Parameter"
"HIWPD"	"Depotaufstellung rückmelden"
"HIWPDS"	"Depotaufstellung Parameter"
"HIWPH"	"Wichtige Informationen rückmelden "
"HIWPHS"	"Wichtige Informationen Parameter "
"HIWPI"	"Wertpapierinformationen rückmelden"
"HIWPIS"	"Wertpapierinformationen Parameter"
"HIWPK"	"Wertpapierkurse rückmelden"
"HIWPKS"	"Wertpapierkurse Parameter"
"HIWPO"	"Wertpapierordereinreichung bestätigen"
"HIWPOS"	"Wertpapierorder Parameter"
"HIWPR"	"Wertpapierreferenznummern rückmelden "
"HIWPRS"	"Wertpapierreferenznummern Parameter "
"HIWPS"	"Wertpapierorderstreichung bestätigen"
"HIWPSS"	"Wertpapierorderstreichung Parameter "
"HIWSD"	"Wertpapierstammdaten rückmelden "
"HIWSDS"	"Wertpapierstammdaten Parameter "
"HIWSO"	"Orderstatus"
"HIWSOS"	"Orderstatus Parameter"
"HKADR"	"Adressänderung"
"HKAOM"	"Auslandsüberweisung ohne Meldeteil"
"HKAUB"	"Auslandsüberweisung"
"HKAUE"	"Ausgeführte Überweisungen anfordern"
"HKAZK"	"Kartenanzeige anfordern"
"HKAZS"	"Alternative ZKA Sicherheitsverfahren"
"HKBBS"	"Bestand terminierter SEPA-Firmeneinzellastschriften anfordern"
