MFI_ID	BIC	HOST	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	DOMICILE	HEAD_NAME	HEAD_ID	RESERVE	EXEMPT
DE06123	NOLADE21PSW	DE	Sparkasse Uecker-Randow	12 51	Stettiner Straße 20	17309	Pasewalk	Credit Institution				Yes	No
DE00766	NOLADE21UEL	DE	Sparkasse Uelzen/Lüchow-Dannenberg	16 64	Veerßer Straße 42	29525	Uelzen	Credit Institution				Yes	No
DE00438	SOLADES1ULM	DE	Sparkasse Ulm	2720	Hans-und-Sophie-Scholl-Platz 2	89073	Ulm	Credit Institution				Yes	No
DE06216	HELADEF1MUE	DE	Sparkasse Unstrut-Hainich	1264	Untermarkt 18	99974	Mühlhausen, Thüringen	Credit Institution				Yes	No
DE00951	WELADED1REK	DE	Sparkasse Vest Recklinghausen		Herzogswall 5	45657	Recklinghausen	Credit Institution				Yes	No
DE06276	WELADED1PLX	DE	Sparkasse Vogtland	400254	Komturhof 2	08527	Plauen	Credit Institution				Yes	No
DE01036	LUHSDE6AXXX	DE	Sparkasse Vorderpfalz	21 12 09	Ludwigstraße 52	67059	Ludwigshafen am Rhein	Credit Institution				Yes	No
DE06102	NOLADE21GRW	DE	Sparkasse Vorpommern	32 62	An der Sparkasse 1	17489	Greifswald, Hansestadt	Credit Institution				Yes	No
DE00673	HELADEF1KOR	DE	Sparkasse Waldeck-Frankenberg	1420	Nordwall 6-8	34497	Korbach	Credit Institution				Yes	No
DE00994	WELADED1WRL	DE	Sparkasse Werl (Zweckverbandssparkasse der Stadt Werl und der Gemeinden Wickede (Ruhr) und Ense)	8025	Engelhardstr. 4	59457	Werl	Credit Institution				Yes	No
DE00648	HELADEF1ESW	DE	Sparkasse Werra-Meißner	14 80	Friedrich-Wilhelm-Straße 40 - 42	37269	Eschwege	Credit Institution				Yes	No
DE00722	NOLADE21SWB	DE	Sparkasse Weserbergland		Am Markt 4	31785	Hameln	Credit Institution				Yes	No
DE01039	MALADE51AKI	DE	Sparkasse Westerwald-Sieg	11 55	Bismarckstraße 16	56470	Bad Marienberg (Westerwald)	Credit Institution				Yes	No
DE01084	NOLADE21WHO	DE	Sparkasse Westholstein	19 42	Dithmarscher Platz 2	25524	Itzehoe	Credit Institution				Yes	No
DE00802	WELADE3WXXX	DE	Sparkasse Westmünsterland	15 53	Overbergplatz 1	48249	Dülmen	Credit Institution				Yes	No
DE00689	HELADEF1WET	DE	Sparkasse Wetzlar		Seibertstr. 10	35576	Wetzlar	Credit Institution				Yes	No
DE01005	WELADED1WTN	DE	Sparkasse Witten		Ruhrstr. 45	58452	Witten	Credit Institution				Yes	No
DE06200	NOLADE21WBL	DE	Sparkasse Wittenberg	10 02 65	Am Alten Bahnhof 3	06886	Lutherstadt Wittenberg	Credit Institution				Yes	No
DE00791	WELADED1BEB	DE	Sparkasse Wittgenstein	1420	Poststr. 15	57319	Bad Berleburg	Credit Institution				Yes	No
DE00449	SOLADES1WOF	DE	Sparkasse Wolfach	1109	Bahnhofstr. 4	77709	Wolfach	Credit Institution				Yes	No
DE00328	MALADE51WOR	DE	Sparkasse Worms-Alzey-Ried		Lutherring 15	67547	Worms	Credit Institution				Yes	No
DE00335	SOLADES1BAL	DE	Sparkasse Zollernalb		Friedrichstraße 3	72336	Balingen	Credit Institution				Yes	No
DE06282	WELADED1ZWI	DE	Sparkasse Zwickau	200938	Crimmitschauer Str. 2	08056	Zwickau	Credit Institution				Yes	No
DE00927	WELADED1MOR	DE	Sparkasse am Niederrhein - Sparkasse des Kreises Wesel und der Städte Moers, Neukirchen- Vluyn und Rheinberg -	10 21 40	Ostring 4-7	47441	Moers	Credit Institution				Yes	No
DE01002	WELADED1WIE	DE	Sparkasse der Homburgischen Gemeinden in Wiehl	12 09	Hauptstraße 12 - 18	51674	Wiehl	Credit Institution				Yes	No
DE00886	WELADED1ISL	DE	Sparkasse der Stadt Iserlohn		Schillerplatz 6	58636	Iserlohn	Credit Institution				Yes	No
DE00977	WELADED1STR	DE	Sparkasse der Stadt Straelen	1352	Markt 15-17	47638	Straelen	Credit Institution				Yes	No
DE00771	BRLADE21WHV	DE	Sparkasse der Stadt Wilhelmshaven	23 55	Theaterplatz 1	26382	Wilhelmshaven	Credit Institution				Yes	No
DE00872	WLAHDE44XXX	DE	Sparkasse im Kreis Herford -Zweckverband Sparkasse des Kreises Herford und der Städte Bünde, Herford, Löhne und Vlotho-		Auf der Freiheit 20	32052	Herford	Credit Institution				Yes	No
DE00480	BYLADEM1CHM	DE	Sparkasse im Landkreis Cham	1551	Further Str. 1	93413	Cham	Credit Institution				Yes	No
DE00567	BYLADEM1NEA	DE	Sparkasse im Landkreis Neustadt a.d. Aisch-Bad Windsheim	1509	Sparkassenplatz 1	91413	Neustadt a.d. Aisch	Credit Institution				Yes	No
DE00566	BYLADEM1SAD	DE	Sparkasse im Landkreis Schwandorf	1729	Postgartenstr. 4-6	92421	Schwandorf	Credit Institution				Yes	No
DE01117	NOLADE21SPL	DE	Sparkasse zu Lübeck Aktiengesellschaft	21 76	Breite Straße 18-28	23552	Lübeck	Credit Institution				Yes	No
DE06652	GENODEF1LN1	DE	Spreewaldbank eG	1464	Poststraße 9 - 10	15907	Lübben (Spreewald)	Credit Institution				Yes	No
DE05825	GAKDDEM1111	DE	St.Galler Kantonalbank Deutschland AG		Maximilianstr. 58	80538	München	Credit Institution				Yes	No
DE00645	HELADEF1DAS	DE	Stadt- und Kreis-Sparkasse Darmstadt		Rheinstraße 10-12	64283	Darmstadt	Credit Institution				Yes	No
DE00496	BYLADEM1ERH	DE	Stadt- und Kreissparkasse Erlangen		Hugenottenplatz 5	91054	Erlangen	Credit Institution				Yes	No
