Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
3046;66670024;Deutsche Bank Privat und Geschäftskunden AG;Pforzheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3047;66680013;Dresdner Bank;Pforzheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3048;66680013;Dresdner Bank;Calw;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3049;66680013;Dresdner Bank;Mühlacker;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3050;66690000;Volksbank Pforzheim;Pforzheim;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3051;66692300;Volksbank Wilferdingen-Keltern;Remchingen;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3052;66762332;Raiffeisenbank Kirchardt;Kirchardt;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3053;66762433;Raiffeisenbank Neudenau-Stein-Herbolzheim;Neudenau;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3054;66763035;Volksbank Bad Rappenau -alt-;Bad Rappenau;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3055;66792200;Volksbank Eppingen -alt-;Eppingen;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3056;67010111;SEB AG;Mannheim;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
3057;67020190;Bayerische Hypo- und Vereinsbank AG - HVB;Schwetzingen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3058;67020190;Bayerische Hypo- und Vereinsbank AG - HVB;Mannheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3059;67020190;Bayerische Hypo- und Vereinsbank AG - HVB;Viernheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3060;67040031;Commerzbank;Mannheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3061;67040031;Commerzbank;Weinheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3062;67040031;Commerzbank;Sinsheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3063;67040031;Commerzbank;Schwetzingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3064;67040031;Commerzbank;Hockenheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3065;67040031;Commerzbank;Viernheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3066;67040031;Commerzbank;Wiesloch;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3067;67040031;Commerzbank;Mosbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3068;67050505;Sparkasse Rhein-Neckar-Nord (Mannheim/Weinheim);Mannheim;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i068.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3069;67051203;Bezirkssparkasse Hockenheim;Hockenheim;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i072.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3070;67060031;Volksbank Sandhofen;Mannheim;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3071;67062532;Raiffeisenbank Reilingen;Reilingen;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3072;67063217;Volksbank Neckar-Bergstraße;Hirschberg an der Bergstraße;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3073;67070010;Deutsche Bank AG;Mannheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3074;67070010;Deutsche Bank AG;Hockenheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3075;67070010;Deutsche Bank AG;Viernheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3076;67070010;Deutsche Bank AG;Schwetzingen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3077;67070010;Deutsche Bank AG;Weinheim, Bergstr;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3078;67070024;Deutsche Bank Privat und Geschäftskunden AG;Hockenheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3079;67070024;Deutsche Bank Privat und Geschäftskunden AG;Mannheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3080;67070024;Deutsche Bank Privat und Geschäftskunden AG;Schwetzingen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3081;67070024;Deutsche Bank Privat und Geschäftskunden AG;Viernheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3082;67070024;Deutsche Bank Privat und Geschäftskunden AG;Weinheim, Bergstr;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3083;67080050;Dresdner Bank;Mannheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3084;67080050;Dresdner Bank;Landau ;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3085;67080050;Dresdner Bank;Lampertheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3086;67080050;Dresdner Bank;Speyer;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3087;67080050;Dresdner Bank;Worms;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3088;67080050;Dresdner Bank;Viernheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3089;67080050;Dresdner Bank;Dirmstein;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3090;67080050;Dresdner Bank;Frankenthal;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3091;67080050;Dresdner Bank;Freinsheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3092;67080050;Dresdner Bank;Maxdorf;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3093;67080050;Dresdner Bank;Bobenheim-Roxheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3094;67080050;Dresdner Bank;Ladenburg;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3095;67080050;Dresdner Bank;Walldorf;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3096;67080050;Dresdner Bank;Hockenheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3097;67080050;Dresdner Bank;Weinheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3098;67080050;Dresdner Bank;Grünstadt;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3099;67080050;Dresdner Bank;Mosbach;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3100;67090000;Volksbank Rhein-Neckar;Mannheim;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3101;67091300;Volksbank Bezirk Schwetzingen;Schwetzingen;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3102;67091500;Volksbank Neckar-Bergstraße;Schriesheim;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3103;67092300;Volksbank Weinheim;Weinheim, Bergstr;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3104;67210111;SEB AG;Heidelberg, Neckar;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
3105;67220286;Bayerische Hypo- und Vereinsbank AG - HVB;Heidelberg, Neckar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3106;67230000;MLP Bank;Heidelberg, Neckar;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3107;67230001;MLP Bank;Heidelberg, Neckar;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3108;67240039;Commerzbank;Heidelberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3109;67250020;Sparkasse Heidelberg;Heidelberg;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i035.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3110;67261909;Raiffeisenbank Steinsberg -alt-;Sinsheim, Elsenz;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3111;67262243;Raiffeisenbank Baiertal;Wiesloch;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3112;67262402;Volksbank Schwarzbachtal Waibstadt;Waibstadt;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3113;67262550;Volksbank Rot Sankt Leon-Rot;St. Leon-Rot;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3114;67262606;Raiffeisen-Volksbank Schriesheim;Schriesheim;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3115;67263256;Volksbank Helmstadt-Reichartshausen;Helmstadt-Bargen;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3116;67270003;Deutsche Bank AG;Heidelberg, Neckar;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3117;67270003;Deutsche Bank AG;Mosbach, Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3118;67270003;Deutsche Bank AG;Wiesloch;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3119;67270024;Deutsche Bank Privat und Geschäftskunden AG;Heidelberg, Neckar;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3120;67270024;Deutsche Bank Privat und Geschäftskunden AG;Mosbach, Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3121;67270024;Deutsche Bank Privat und Geschäftskunden AG;Wiesloch;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3122;67280051;Dresdner Bank;Mannheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3123;67280051;Dresdner Bank;Eppelheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3124;67290000;Heidelberger Volksbank;Heidelberg, Neckar;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3125;67290100;H + G BANK Heidelberg;Heidelberg, Neckar;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3126;67291300;Volksbank Eberbach-Hess Neckartal;Eberbach, Baden;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3127;67291400;Volksbank Leimen-Sandhausen -alt-;Leimen, Baden;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3128;67291500;Volksbank f d Angelbachtal Mühlhausen;Rauenberg, Kraichgau;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3129;67291700;Volksbank Neckartal;Eberbach, Baden;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3130;67291900;Volksbank Kraichgau;Sinsheim, Elsenz;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3131;67292200;Volksbank Wiesloch;Wiesloch;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3132;67352565;Sparkasse Tauberfranken;Tauberfranken;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i034.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3133;67362210;Volksbank Boxberg -alt-;Boxberg, Baden;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3134;67362560;Volksbank Tauber -alt-;Tauberbischofsheim;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3135;67390000;Volksbank Main-Tauber;Wertheim a Main;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3136;67450048;Sparkasse Neckartal-Odenwald;Neckartal-Odenwald;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i070.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3137;67460041;Volksbank Mosbach;Mosbach, Baden;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3138;67461424;Volksbank Franken;Buchen (Odenwald);FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3139;67461733;Volksbank Kirnau;Rosenberg, Baden;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3140;67462368;Volksbank Limbach;Limbach, Baden;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3141;67462480;Raiffeisenbank Schefflenz-Seckach -alt-;Schefflenz;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
3142;68010111;SEB AG;Freiburg im Breisgau;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
3143;68020186;Bayerische Hypo- und Vereinsbank AG - HVB;Freiburg im Breisgau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3144;68020186;Bayerische Hypo- und Vereinsbank AG - HVB;Lörrach;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3145;68020186;Bayerische Hypo- und Vereinsbank AG - HVB;Offenburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3146;68040007;Commerzbank;Lahr;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3147;68040007;Commerzbank;Freiburg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3148;68040007;Commerzbank;Emmendingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
3149;68050101;Sparkasse Freiburg - Nördlicher Breisgau;Freiburg;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i105.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3150;68051004;Sparkasse Hochschwarzwald;Hochschwarzwald;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i081.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3151;68051207;Sparkasse Bonndorf-Stühlingen;Bonndorf-Stühlingen;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i110.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3152;68052230;Bezirkssparkasse St. Blasien;St. Blasien;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i126.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3153;68052328;Sparkasse Staufen-Breisach;Staufen-Breisach;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i103.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3154;68052863;Sparkasse Schönau-Todtnau;Schönau-Todtnau;Finanz Informatik GmbH & Co. KG (Baden-Württemberg);DSGV;i079.bw.s-hbci.de;193.110.133.30;2.2;ja;;;;;;;;;;;https://hbci-pintan-bw.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
3155;68061505;Volksbank Breisgau-Süd;Heitersheim;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
